region,gu,legal_code,latitude,longitude
이화동,종로구,1111016500,37.5769946840177,127.004338052474
익선동,종로구,1111013300,37.5743345779563,126.989694095817
인사동,종로구,1111013600,37.5717032982691,126.986049484352
인의동,종로구,1111015700,37.572331192099,126.997668102599
장사동,종로구,1111015400,37.5692172240879,126.994023346762
재동,종로구,1111014700,37.5783020854648,126.985246741088
적선동,종로구,1111010700,37.5752799608427,126.973773044297
종로1가,종로구,1111012600,37.570257257333,126.980149990907
종로2가,종로구,1111013800,37.5708890381379,126.988250180457
종로3가,종로구,1111015600,37.5703884202891,126.992329841579
종로4가,종로구,1111016100,37.570745463372,126.999764551274
종로5가,종로구,1111016300,37.5706048556461,127.003527196401
종로6가,종로구,1111016400,37.5718912859016,127.007584281884
중학동,종로구,1111012500,37.5752847227304,126.979641505392
창성동,종로구,1111010500,37.5805450723988,126.972462474485
창신동,종로구,1111017400,37.5752245135612,127.012828195947
청운동,종로구,1111010100,37.5891974378627,126.969329763593
청진동,종로구,1111012200,37.5714393638424,126.98015420508
체부동,종로구,1111011200,37.5775894297458,126.970869610418
충신동,종로구,1111016700,37.5749475538098,127.00595899872
통의동,종로구,1111010600,37.5780584194584,126.972852824323
통인동,종로구,1111010800,37.5801444847071,126.97021199276
팔판동,종로구,1111013900,37.582809998749,126.980676503591
평동,종로구,1111017700,37.5678972658595,126.966843743393
평창동,종로구,1111018300,37.6063916960375,126.968357810931
필운동,종로구,1111011300,37.5778012532176,126.967749538039
행촌동,종로구,1111018100,37.5733270930884,126.962272567935
혜화동,종로구,1111016900,37.5868624440017,127.00060686405
홍지동,종로구,1111018500,37.6007910021227,126.956587544473
홍파동,종로구,1111017900,37.5711327985696,126.963967103183
화동,종로구,1111014300,37.5806911752014,126.982696745397
효자동,종로구,1111010400,37.5826496685116,126.971931855344
효제동,종로구,1111016200,37.5725942661176,127.003056381131
훈정동,종로구,1111015000,37.5743637157985,126.994172362099
광희동1가,중구,1114014500,37.5652239855071,127.006451724415
광희동2가,중구,1114014600,37.5639300318234,127.008407470182
남대문로1가,중구,1114010600,37.5678610341135,126.982862710392
남대문로2가,중구,1114011500,37.5636983086303,126.982030616216
남대문로3가,중구,1114011600,37.562011370384,126.980319690105
남대문로4가,중구,1114011700,37.5601075547156,126.975457960662
남대문로5가,중구,1114011800,37.5575773074592,126.97429533532
남산동1가,중구,1114012800,37.5593342411287,126.984580460713
남산동2가,중구,1114012900,37.5584190512111,126.986396022059
남산동3가,중구,1114013000,37.5607185451524,126.987762834453
남창동,중구,1114011200,37.5576969045757,126.977559311953
남학동,중구,1114014000,37.5605530385659,126.990814223458
다동,중구,1114010200,37.5678932127316,126.981173875618
만리동1가,중구,1114017300,37.5561628100869,126.967288060049
만리동2가,중구,1114017400,37.5545760844189,126.963956968884
명동1가,중구,1114012600,37.5642861263305,126.984638297227
명동2가,중구,1114012700,37.5628878550787,126.98522714432
무교동,중구,1114010100,37.5681523321123,126.978995985222
무학동,중구,1114016400,37.564358217778,127.015271168107
묵정동,중구,1114013600,37.5614543921106,127.000371238419
방산동,중구,1114015300,37.5687055728612,127.002956612022
봉래동1가,중구,1114011900,37.5595051345954,126.972922937607
봉래동2가,중구,1114012000,37.5565385873088,126.970968346946
북창동,중구,1114011300,37.5622200000297,126.978042381175
산림동,중구,1114015700,37.5677288451171,126.995508543908
삼각동,중구,1114010700,37.568081067024,126.984225497316
서소문동,중구,1114016600,37.5631129454111,126.97389954989
소공동,중구,1114011100,37.5638997702146,126.97979400965
수표동,중구,1114011000,37.5674509569573,126.989500354867
수하동,중구,1114010800,37.5672666194381,126.984624102223
순화동,중구,1114016800,37.5625571795009,126.970694369794
